Programming Experience,Command-Line Experience,Version Control Experience,Markdown Experience,R Language Experience,Web Programming Experience,Operating System,I consider myself a,Cups of Coffee,Seahawks Fan,Interested in Informatics
"I have lots of experience with a programming language (e.g., CSE143+)",Intermediate user,Intermediate user,Intermediate user,Used it a few times,Intermediate user,Mac OS X,cat person; dog person,0.1,Yes,No
"I have lots of experience with a programming language (e.g., CSE143+)",Intermediate user,Intermediate user,Used it a few times,Never used it,Expert user,Mac OS X,Other forever alone person,0,Yes,Yes
"I have lots of experience with a programming language (e.g., CSE143+)",Intermediate user,Used it a few times,Used it a few times,Never used it,Expert user,Mac OS X,cat person; dog person,1,Yes,Not sure
"I have moderate experience with a programming language (e.g., CSE1I have lots of experience with a programming language (e.g., CSE143+)2)",Never used it,Never used it,Never used it,Never used it,Never used it,Windows,cat person,0,Yes,Yes
"I have moderate experience with a programming language (e.g., CSE1I have lots of experience with a programming language (e.g., CSE143+)2)",Never used it,Never used it,Never used it,Never used it,Never used it,Mac OS X,dog person,1,YES!!!,Yes
"I have moderate experience with a programming language (e.g., CSE1I have lots of experience with a programming language (e.g., CSE143+)2)",Never used it,Never used it,Never used it,Never used it,Never used it,Mac OS X,dog person,0,Yes,Yes
"I have lots of experience with a programming language (e.g., CSE143+)",Never used it,Used it a few times,Never used it,Never used it,Never used it,Windows,dog person,1,No,Yes
I've experimented with simple programming,Used it a few times,Never used it,Never used it,Used it a few times,Never used it,Windows,dog person; fish person,2,No,N/A
"I have lots of experience with a programming language (e.g., CSE143+)",Intermediate user,Never used it,Intermediate user,Never used it,Intermediate user,Windows,cat person,1,YES!!!,N/A
"I have moderate experience with a programming language (e.g., CSE1I have lots of experience with a programming language (e.g., CSE143+)2)",Used it a few times,Never used it,Never used it,Never used it,Used it a few times,Windows,dog person,0,YES!!!,Yes
"I have moderate experience with a programming language (e.g., CSE1I have lots of experience with a programming language (e.g., CSE143+)2)",Never used it,Never used it,Never used it,Never used it,Never used it,Mac OS X,cat person,1,Yes,Yes
I've never written code,Never used it,Never used it,Never used it,Never used it,Never used it,Mac OS X,dog person,1,Yes,Yes
I've experimented with simple programming,Never used it,Never used it,Never used it,Never used it,Used it a few times,Mac OS X,dog person,1,YES!!!,Yes
"I have lots of experience with a programming language (e.g., CSE143+)",Intermediate user,Never used it,Never used it,Never used it,Used it a few times,Mac OS X,dog person,1.5,Yes,Yes
"I have lots of experience with a programming language (e.g., CSE143+)",Used it a few times,Never used it,Never used it,Never used it,Intermediate user,Windows,dog person,0,Yes,Yes
"I have lots of experience with a programming language (e.g., CSE143+)",Used it a few times,Used it a few times,Used it a few times,Never used it,Intermediate user,Mac OS X,dog person,0,YES!!!,Yes
"I have lots of experience with a programming language (e.g., CSE143+)",Intermediate user,Used it a few times,Used it a few times,Never used it,Expert user,Windows,,2,No,Yes
"I have moderate experience with a programming language (e.g., CSE1I have lots of experience with a programming language (e.g., CSE143+)2)",Used it a few times,Never used it,Never used it,Never used it,Never used it,Windows,dog person,1,No,Yes
"I have moderate experience with a programming language (e.g., CSE1I have lots of experience with a programming language (e.g., CSE143+)2)",Never used it,Never used it,Never used it,Never used it,Never used it,Mac OS X,dog person,1,No,Yes
"I have moderate experience with a programming language (e.g., CSE1I have lots of experience with a programming language (e.g., CSE143+)2)",Intermediate user,Used it a few times,Never used it,Never used it,Intermediate user,Mac OS X,dog person,3,YES!!!,Yes
"I have lots of experience with a programming language (e.g., CSE143+)",Intermediate user,Used it a few times,Never used it,Never used it,Intermediate user,Other: both Linux and Windows,cat person,0,Yes,Yes
"I have moderate experience with a programming language (e.g., CSE1I have lots of experience with a programming language (e.g., CSE143+)2)",Never used it,Never used it,Never used it,Used it a few times,Never used it,Windows,cat person; dog person; bird person,0,Yes,Yes
"I have lots of experience with a programming language (e.g., CSE143+)",Never used it,Never used it,Never used it,Never used it,Intermediate user,Windows,cat person,0,No,Yes
"I have lots of experience with a programming language (e.g., CSE143+)",Never used it,Never used it,Never used it,Never used it,Intermediate user,Windows,dog person,0,YES!!!,Yes
"I have lots of experience with a programming language (e.g., CSE143+)",Intermediate user,Used it a few times,Never used it,Never used it,Never used it,Windows,cat person; dog person,3,Yes,Yes
"I have moderate experience with a programming language (e.g., CSE1I have lots of experience with a programming language (e.g., CSE143+)2)",Used it a few times,Never used it,Never used it,Never used it,Never used it,Windows,dog person,1.5,Yes,Yes
"I have lots of experience with a programming language (e.g., CSE143+)",Used it a few times,Used it a few times,Never used it,Never used it,Used it a few times,Windows,dog person,1,Yes,Yes
"I have moderate experience with a programming language (e.g., CSE1I have lots of experience with a programming language (e.g., CSE143+)2)",Never used it,Never used it,Never used it,Intermediate user,Never used it,Linux (any),dog person,2,No,Not sure
"I have lots of experience with a programming language (e.g., CSE143+)",Never used it,Never used it,Never used it,Never used it,Used it a few times,Mac OS X,dog person,1,YES!!!,Yes
"I have moderate experience with a programming language (e.g., CSE1I have lots of experience with a programming language (e.g., CSE143+)2)",Used it a few times,Never used it,Never used it,Never used it,Used it a few times,Windows,cat person; dog person,0.5,YES!!!,Yes
"I have moderate experience with a programming language (e.g., CSE1I have lots of experience with a programming language (e.g., CSE143+)2)",Never used it,Never used it,Never used it,Used it a few times,Never used it,Windows,dog person,0.5,Yes,Yes
"I have moderate experience with a programming language (e.g., CSE1I have lots of experience with a programming language (e.g., CSE143+)2)",Used it a few times,Never used it,Never used it,Never used it,Never used it,Windows,dog person,1,Yes,Yes
"I have moderate experience with a programming language (e.g., CSE1I have lots of experience with a programming language (e.g., CSE143+)2)",Never used it,Never used it,Never used it,Never used it,Intermediate user,Windows,dog person,0.2,Yes,Not sure
"I have moderate experience with a programming language (e.g., CSE1I have lots of experience with a programming language (e.g., CSE143+)2)",Used it a few times,Used it a few times,Never used it,Never used it,Used it a few times,Mac OS X,dog person,1,No,Yes
"I have moderate experience with a programming language (e.g., CSE1I have lots of experience with a programming language (e.g., CSE143+)2)",Never used it,Never used it,Never used it,Never used it,Used it a few times,Windows,Other people person,0,No,Yes
I've experimented with simple programming,Used it a few times,Never used it,Never used it,Never used it,Intermediate user,Windows,cat person,1,No,Not sure
"I have lots of experience with a programming language (e.g., CSE143+)",Used it a few times,Used it a few times,Never used it,Never used it,Intermediate user,Mac OS X,dog person,0,Yes,Yes
"I have lots of experience with a programming language (e.g., CSE143+)",Never used it,Never used it,Never used it,Never used it,Never used it,Windows,dog person,2,No,Yes
I've never written code,Never used it,Never used it,Never used it,Never used it,Never used it,Windows,dog person,1,Yes,Yes
"I have lots of experience with a programming language (e.g., CSE143+)",Intermediate user,Never used it,Never used it,Never used it,Expert user,Windows,dog person,1,No,Not sure
"I have moderate experience with a programming language (e.g., CSE1I have lots of experience with a programming language (e.g., CSE143+)2)",Intermediate user,Used it a few times,Never used it,Never used it,Never used it,Windows,cat person,0,YES!!!,Yes
"I have lots of experience with a programming language (e.g., CSE143+)",Never used it,Never used it,Never used it,Never used it,Intermediate user,Windows,dog person,1,YES!!!,Yes
I've experimented with simple programming,Never used it,Never used it,Never used it,Never used it,Used it a few times,Mac OS X,dog person,0,YES!!!,Yes
I've experimented with simple programming,Never used it,Never used it,Never used it,Never used it,Never used it,Windows,dog person,1,YES!!!,Not sure
"I have lots of experience with a programming language (e.g., CSE143+)",Never used it,Used it a few times,Never used it,Never used it,Intermediate user,Windows,fish person,0,No,Yes
"I have lots of experience with a programming language (e.g., CSE143+)",Used it a few times,Never used it,Never used it,Never used it,Intermediate user,Mac OS X,,2,YES!!!,N/A
"I have lots of experience with a programming language (e.g., CSE143+)",Used it a few times,Never used it,Never used it,Never used it,Used it a few times,Windows,cat person; dog person,0,YES!!!,Yes
"I have lots of experience with a programming language (e.g., CSE143+)",Used it a few times,Used it a few times,Used it a few times,Never used it,Expert user,Windows,,1,Yes,Yes
"I have moderate experience with a programming language (e.g., CSE1I have lots of experience with a programming language (e.g., CSE143+)2)",Never used it,Never used it,Never used it,Never used it,Used it a few times,Mac OS X,dog person,0,Yes,Yes
"I have moderate experience with a programming language (e.g., CSE1I have lots of experience with a programming language (e.g., CSE143+)2)",Intermediate user,Intermediate user,Never used it,Never used it,Used it a few times,Mac OS X,dog person,0,No,Not sure
"I have moderate experience with a programming language (e.g., CSE1I have lots of experience with a programming language (e.g., CSE143+)2)",Never used it,Never used it,Never used it,Never used it,Used it a few times,Windows,dog person,0,Yes,Yes
"I have lots of experience with a programming language (e.g., CSE143+)",Used it a few times,Never used it,Never used it,Never used it,Intermediate user,Mac OS X,dog person,1,Yes,Yes
"I have lots of experience with a programming language (e.g., CSE143+)",Used it a few times,Never used it,Never used it,Never used it,Intermediate user,Windows,dog person,1,YES!!!,Yes
"I have lots of experience with a programming language (e.g., CSE143+)",Used it a few times,Used it a few times,Never used it,Never used it,Never used it,Windows,cat person,1,YES!!!,Yes
"I have moderate experience with a programming language (e.g., CSE1I have lots of experience with a programming language (e.g., CSE143+)2)",Never used it,Never used it,Never used it,Used it a few times,Used it a few times,Mac OS X,dog person,1,No,Yes
"I have lots of experience with a programming language (e.g., CSE143+)",Never used it,Used it a few times,Never used it,Never used it,Used it a few times,Windows,cat person,0.1,YES!!!,Yes
I've never written code,Never used it,Never used it,Never used it,Never used it,Never used it,Mac OS X,dog person,2,No,Yes
I've experimented with simple programming,Never used it,Never used it,Never used it,Never used it,Used it a few times,Mac OS X,dog person,2,No,Yes
I've experimented with simple programming,Never used it,Never used it,Never used it,Never used it,Used it a few times,Mac OS X,cat person; Other guinea pig person,2,YES!!!,Yes
"I have lots of experience with a programming language (e.g., CSE143+)",Used it a few times,Used it a few times,Never used it,Never used it,Intermediate user,Mac OS X,dog person,0,No,Yes
